,previous_room,current_room,"(1, 1)","(1, 0)","(0, 1)","(0, 0)"
199,r12,r25,0.446927374,0.553072626,0.349842413,0.650157587
200,c1,r26,0.14620217,0.85379783,0.090909091,0.909090909
201,r32,r26,0.143589744,0.856410256,0.128855721,0.871144279
202,r25,r26,0.13302217,0.86697783,0.130265716,0.869734284
203,r22,r26,0.046052632,0.953947368,0.14360687,0.85639313
204,r27,r26,0.193006993,0.806993007,0.10504451,0.89495549
205,r32,r27,0.494871795,0.505128205,0.259701493,0.740298507
206,r26,r27,0.425396825,0.574603175,0.278657074,0.721342926
207,r25,r27,0.268378063,0.731621937,0.314322748,0.685677252
208,r31,r27,0.176074136,0.823925864,0.417147568,0.582852432
209,r33,r27,0.275510204,0.724489796,0.316187595,0.683812405
210,o1,r28,0.030852995,0.969147005,0.010785824,0.989214176
211,r35,r28,0.013921114,0.986078886,0.021330625,0.978669375
212,c2,r28,0.011967091,0.988032909,0.030103481,0.969896519
213,c4,r28,0.021399911,0.978600089,0,1
214,r29,r28,0,1,0.020636285,0.979363715
215,o1,r29,0.012704174,0.987295826,0.046224961,0.953775039
216,r28,r29,0,1,0.031462585,0.968537415
217,r35,r29,0.03712297,0.96287703,0.029456577,0.970543423
218,c2,r29,0.019446522,0.980553478,0.045155221,0.954844779
219,c4,r29,0.032099866,0.967900134,0.012738854,0.987261146
220,r30,r29,0.7,0.3,0.025210084,0.974789916
221,c4,r30,0.00891663,0.99108337,0,1
222,r29,r30,0.202702703,0.797297297,0.002149613,0.997850387
223,r27,r31,0.28951049,0.71048951,0.581602374,0.418397626
224,r33,r31,0.485157699,0.514842301,0.502269289,0.497730711
225,r32,r31,0.351282051,0.648717949,0.52238806,0.47761194
226,r26,r32,0.174603175,0.825396825,0.160671463,0.839328537
227,r31,r32,0.117944398,0.882055602,0.206100577,0.793899423
228,r33,r32,0.107606679,0.892393321,0.207261725,0.792738275
229,r27,r32,0.26993007,0.73006993,0.116913947,0.883086053
230,r27,r33,0.415384615,0.584615385,0.463501484,0.536498516
231,r32,r33,0.294871795,0.705128205,0.479104478,0.520895522
232,r31,r33,0.436394271,0.563605729,0.461665293,0.538334707
233,c4,r34,0.515827017,0.484172983,0.21656051,0.78343949
234,c1,r34,0.561393489,0.438606511,0.320493066,0.679506934
235,c2,r34,0.540014959,0.459985041,0.441204139,0.558795861
236,o1,r35,0.127041742,0.872958258,0.224191063,0.775808937
237,r28,r35,0.125,0.875,0.180697279,0.819302721
238,c2,r35,0.174270755,0.825729245,0.186265287,0.813734713
239,c4,r35,0.189478377,0.810521623,0.038216561,0.961783439
240,r29,r35,0.27027027,0.72972973,0.176698194,0.823301806
